#ARTIST:Justin Bieber
#TITLE:Love Yourself
#MP3:Justin Bieber - Love Yourself.mp3
#AUTHOR:amro98
#GENRE:Pop
#YEAR:2015
#LANGUAGE:English
#BPM:200.04
#GAP:10406
#VIDEO:Justin Bieber - Love Yourself.mkv
: 1669 2 8  so
: 1673 1 6  caught
: 1675 2 4 ~
: 1678 1 4  up
: 1681 3 4  in
: 1685 1 6  my
: 1687 1 8 ~
: 1689 4 8  job
- 1695
: 1697 3 4 Did
: 1701 2 6 n't
: 1705 1 6  see
: 1707 1 8 ~
: 1709 2 9  what's
: 1713 1 8  go
: 1715 2 6 ~
: 1718 3 6 ing
* 1722 3 6  on
- 1725
: 1726 1 4 And
: 1728 4 4  now
: 1733 1 9  I
: 1735 1 11 ~
: 1737 3 11  know
- 1750
: 1758 1 9 I'm
: 1760 1 11 ~
: 1762 3 11  bet
: 1766 1 11 ter
: 1769 1 11  slee
: 1771 1 9 ~
: 1773 4 9 ping
: 1778 1 9  on
: 1780 1 8 ~
: 1782 1 8  my
: 1784 1 6 ~
: 1786 2 6  own
- 1788
: 1790 2 4 'Cause
: 1793 2 4  if
: 1797 1 6  you
: 1799 1 8 ~
: 1801 4 8  like
- 1811
* 1813 1 8 The
* 1815 1 6 ~
* 1817 4 6  way
- 1827
: 1829 2 4 You
: 1832 1 6  look
: 1834 1 8 ~
: 1837 3 8  that
: 1841 3 6 ~
: 1845 2 6  much
- 1851
: 1853 2 4 Oh
: 1857 3 4  ba
: 1861 3 6 by
: 1865 1 8  you
: 1869 2 4  should
: 1873 1 6  go
: 1875 2 8 ~
: 1878 2 4  and
: 1881 2 6  love
: 1885 4 4  your
: 1893 4 4 self
- 1907
: 1918 2 4 And
: 1921 2 4  if
: 1925 1 6  you
: 1927 1 8 ~
: 1929 4 8  think
- 1939
: 1941 1 8 That
: 1943 2 6 ~
: 1946 4 6  I'm
- 1955
: 1957 2 4 Still
: 1962 2 8  hol
: 1965 4 8 din'
: 1970 2 6 ~
: 1973 6 6  on
: 1980 1 4  to
: 1985 2 4  some
: 1988 3 6 thin'
- 1991
: 1992 1 6 You
: 1994 1 8 ~
: 1997 2 4  should
: 2001 1 6  go
: 2003 1 8 ~
: 2005 3 4  and
: 2009 2 6  love
: 2013 5 4  your
: 2021 1 4 self
: 2023 2 1 ~
- 2035
: 2050 1 11 Hmm
: 2052 2 8 ~
: 2055 3 11 ~
* 2061 4 8 ~
* 2066 1 6 ~
* 2068 2 4 ~
: 2071 6 4 ~
- 2080
: 2082 2 11 Hmm
: 2085 2 8 ~
: 2088 2 11 ~
: 2093 3 8 ~
: 2097 2 6 ~
: 2100 2 4 ~
: 2104 1 6 ~
: 2106 4 8 ~
- 2112
: 2114 1 11 Hmm
: 2116 2 8 ~
: 2119 3 11 ~
: 2124 4 8 ~
: 2129 2 6 ~
: 2132 2 4 ~
* 2138 2 9 ~
* 2141 1 8 ~
* 2145 2 6 ~
: 2149 3 4 ~
: 2154 3 4 ~
- 2167
: 2178 1 11 Hmm
: 2180 2 8 ~
: 2183 3 11 ~
: 2189 4 8 ~
: 2194 1 6 ~
: 2196 2 4 ~
: 2199 6 4 ~
- 2208
: 2210 2 11 Hmm
: 2213 2 8 ~
: 2216 2 11 ~
: 2221 3 8 ~
: 2225 2 6 ~
: 2228 2 4 ~
: 2232 1 6 ~
: 2234 4 8 ~
- 2240
: 2242 1 11 Hmm
: 2244 2 8 ~
